organ,cell type,id,Location
Blood & immune cells,abnormal plasma cell,6382,3
Blood & immune cells,abnormal plasma cell,952,3
Blood & immune cells,abnormal plasma cell,4684,3
Epithelial cells,acinar cell,648,1
Epithelial cells,acinar cell,84419,1
Epithelial cells,acinar cell,26354,1
Epithelial cells,acinar cell,4057,2
Epithelial cells,acinar cell,1990,2
Epithelial cells,acinar cell,10136,2
Epithelial cells,acinar cell,23436,2
Epithelial cells,acinar cell,1360,2
Epithelial cells,acinar cell,11330,2
Epithelial cells,acinar cell,3957,2
Epithelial cells,acinar cell,256297,2
Epithelial cells,acinar cell,342898,2
Epithelial cells,acinar cell,653808,2
Epithelial cells,acinar cell,13,2
Epithelial cells,acinar cell,57016,2
Epithelial cells,acinar cell,1646,2
Epithelial cells,acinar cell,8644,2
Epithelial cells,acinar cell,22977,2
Epithelial cells,acinar cell,229,2
Epithelial cells,acinar cell,281,2
Epithelial cells,acinar cell,343,2
Epithelial cells,acinar cell,586,2
Epithelial cells,acinar cell,102724560,2
Epithelial cells,acinar cell,110599583,2
Epithelial cells,acinar cell,121506,2
Epithelial cells,acinar cell,84706,2
Epithelial cells,acinar cell,65987,2
Epithelial cells,acinar cell,4143,2
Epithelial cells,acinar cell,4257,2
Epithelial cells,acinar cell,4792,2
Epithelial cells,acinar cell,26471,2
Epithelial cells,acinar cell,64714,2
Epithelial cells,acinar cell,5166,2
Epithelial cells,acinar cell,10105,2
Epithelial cells,acinar cell,154754,2
Epithelial cells,acinar cell,6385,2
Epithelial cells,acinar cell,6446,2
Epithelial cells,acinar cell,51312,2
Epithelial cells,acinar cell,100129518,2
Epithelial cells,acinar cell,92610,2
Epithelial cells,acinar cell,27346,2
Epithelial cells,acinar cell,7164,2
Epithelial cells,acinar cell,8459,2
Epithelial cells,acinar cell,28951,2
Epithelial cells,acinar cell,8531,2
Epithelial cells,acinar cell,51114,2
Epithelial cells,acinar cell,362,3
Epithelial cells,acinar cell,405753,3
Epithelial cells,acinar cell,960,3
Epithelial cells,acinar cell,290,3
Epithelial cells,acinar cell,771,3
Epithelial cells,acinar cell,50624,3
Epithelial cells,acinar cell,1800,3
Epithelial cells,acinar cell,50506,3
Epithelial cells,acinar cell,79180,3
Epithelial cells,acinar cell,116496,3
Epithelial cells,acinar cell,2813,3
Epithelial cells,acinar cell,3958,3
Epithelial cells,acinar cell,92745,3
Epithelial cells,acinar cell,8501,3
Epithelial cells,acinar cell,136541,4
Epithelial cells,acinar cell,3346,4
Epithelial cells,acinar cell,401137,4
Epithelial cells,acinar cell,4246,4
Epithelial cells,acinar cell,280,4
Epithelial cells,acinar cell,51129,4
Epithelial cells,acinar cell,63036,4
Epithelial cells,acinar cell,1357,4
Epithelial cells,acinar cell,1358,4
Epithelial cells,acinar cell,1504,4
Epithelial cells,acinar cell,440387,4
Epithelial cells,acinar cell,284340,4
Epithelial cells,acinar cell,9518,4
Epithelial cells,acinar cell,10158,4
Epithelial cells,acinar cell,5319,4
Epithelial cells,acinar cell,5406,4
Epithelial cells,acinar cell,5407,4
Epithelial cells,acinar cell,5644,4
Epithelial cells,acinar cell,5968,4
Epithelial cells,acinar cell,5068,4
Epithelial cells,acinar cell,6690,4
Epithelial cells,acinar cell,654,4
Epithelial cells,acinar cell,1645,4
Epithelial cells,acinar cell,213,4
Epithelial cells,acinar cell,279,4
Epithelial cells,acinar cell,563,4
Epithelial cells,acinar cell,721,4
Epithelial cells,acinar cell,1056,4
Epithelial cells,acinar cell,1208,4
Epithelial cells,acinar cell,1506,4
Epithelial cells,acinar cell,2267,4
Epithelial cells,acinar cell,51809,4
Epithelial cells,acinar cell,2641,4
Epithelial cells,acinar cell,2938,4
Epithelial cells,acinar cell,2939,4
Epithelial cells,acinar cell,57817,4
Epithelial cells,acinar cell,9235,4
Epithelial cells,acinar cell,3816,4
Epithelial cells,acinar cell,4069,4
Epithelial cells,acinar cell,4582,4
Epithelial cells,acinar cell,5360,4
Epithelial cells,acinar cell,5408,4
Epithelial cells,acinar cell,5539,4
Epithelial cells,acinar cell,5645,4
Epithelial cells,acinar cell,5646,4
Epithelial cells,acinar cell,29968,4
Epithelial cells,acinar cell,22949,4
Epithelial cells,acinar cell,5919,4
Epithelial cells,acinar cell,5967,4
Epithelial cells,acinar cell,130120,4
Epithelial cells,acinar cell,6035,4
Epithelial cells,acinar cell,5267,4
Epithelial cells,acinar cell,5276,4
Epithelial cells,acinar cell,283375,4
Epithelial cells,acinar cell,6750,4
Epithelial cells,acinar cell,7113,4
Epithelial cells,acinar cell,7358,4
Blood & immune cells,activated b cell,972,2
Blood & immune cells,activated b cell,28402,2
Blood & immune cells,activated b cell,952,3
Blood & immune cells,activated b cell,973,3
Blood & immune cells,activated b cell,942,3
Blood & immune cells,activated b cell,83416,3
